Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP
FDA15,9.3,Low Fat,Dairy,249.8092
DRC01,5.92,Regular,Soft Drinks,48.2692
FDN15,17.5,Low Fat,Meat,141.618
FDX07,19.2,Regular,Fruits and Vegetables,182.095
NCD19,8.93,Low Fat,Household,53.8614
FDP36,10.395,Regular,Baking Goods,51.4008
FDO10,13.65,Regular,Snack Foods,57.6588
FDP10,13.65,Low Fat,Snack Foods,107.7622
FDH17,16.2,Regular,Frozen Foods,96.9726
FDU28,19.2,Regular,Frozen Foods,187.8214
FDY07,11.8,Low Fat,Fruits and Vegetables,45.5402
FDA03,18.5,Regular,Dairy,144.1102
FDX32,15.1,Regular,Fruits and Vegetables,145.4786
FDS46,17.6,Regular,Snack Foods,119.6782
FDF32,16.35,Low Fat,Fruits and Vegetables,196.4426
FDP49,9,Regular,Breakfast,56.3614
NCB42,11.8,Low Fat,Health and Hygiene,115.3492
FDP49,9,Regular,Breakfast,54.3614
DRI11,9,Low Fat,Hard Drinks,113.2834
FDU02,13.35,Low Fat,Dairy,230.5352
FDN22,18.85,Regular,Snack Foods,250.8724
FDW12,18.85,Regular,Baking Goods,144.5444
NCB30,14.6,Low Fat,Household,196.5084
FDC37,14.6,Low Fat,Baking Goods,107.6938
FDR28,13.85,Regular,Frozen Foods,165.021
NCD06,13,Low Fat,Household,45.906
FDV10,7.645,Regular,Snack Foods,42.3112
DRJ59,11.65,low fat,Hard Drinks,39.1164
FDE51,5.925,Regular,Dairy,45.5086
FDC14,5.925,Regular,Canned,43.6454
FDV38,19.25,Low Fat,Dairy,55.7956
NCS17,18.6,Low Fat,Health and Hygiene,96.4436
FDP33,18.7,Low Fat,Snack Foods,256.6672
FDO23,17.85,Low Fat,Breads,93.1436
DRH01,17.5,Low Fat,Soft Drinks,174.8738
NCX29,10,Low Fat,Health and Hygiene,146.7102
FDV20,10,Regular,Fruits and Vegetables,128.0678
DRZ11,8.85,Regular,Soft Drinks,122.5388
FDX10,8.85,Regular,Snack Foods,36.9874
FDB34,8.85,Low Fat,Snack Foods,87.6198
FDU02,13.35,Low Fat,Dairy,230.6352
FDK43,9.8,Low Fat,Meat,126.002
FDA46,13.6,Low Fat,Snack Foods,192.9136
FDC02,21.35,Low Fat,Canned,259.9278
FDL50,12.15,Regular,Canned,126.5046
FDM39,6.42,Low Fat,Dairy,178.1002
NCP05,19.6,Low Fat,Health and Hygiene,153.3024
FDV49,10,Low Fat,Canned,265.2226
FDL12,15.85,Regular,Baking Goods,60.622
FDS02,15.85,Regular,Dairy,196.8794
NCL17,7.39,Low Fat,Health and Hygiene,143.8812
FDM40,10.195,Low Fat,Frozen Foods,141.5154
FDR13,9.895,Regular,Canned,117.0492
FDA43,10.895,Low Fat,Fruits and Vegetables,196.3794
NCP18,12.15,Low Fat,Household,151.4708
FDK21,7.905,Low Fat,Snack Foods,249.0408
NCX54,9.195,Low Fat,Household,106.1622
DRK35,8.365,Low Fat,Hard Drinks,38.0506
FDY21,15.1,Low Fat,Snack Foods,194.511
FDI26,15.1,Low Fat,Canned,180.0344
FDM20,10,Low Fat,Fruits and Vegetables,246.9144
FDV27,7.97,Regular,Meat,87.3514
FDF09,7.97,Low Fat,Fruits and Vegetables,38.2848
FDY40,7.97,Regular,Frozen Foods,51.0692
FDY45,7.97,Low Fat,Snack Foods,255.8356
FDC46,17.7,Low Fat,Snack Foods,185.4266
FDH19,19.35,Low Fat,Meat,172.5738
